name_to,average_speed,coordinates,order,tramo_from_lat,tramo_from_long,tramo_to_lat,tramo_to_long,color,corridor,orientation
KR76;KR81,35.32066334,"(array([  4.69784138, -74.09317016]), array([  4.70030072, -74.09722566]))",6,4.697841378,-74.09317016,4.700300716,-74.09722566,#1a9850,cll80,east_west
KR81;KR89A,33.4620352,"(array([  4.70036487, -74.09729003]), array([  4.70438534, -74.10329818]))",7,4.700364873,-74.09729003,4.704385336,-74.10329818,#a6d96a,cll80,east_west
KR89A;KR96,24.27613878,"(array([  4.70449226, -74.10340546]), array([  4.70740067, -74.10924195]))",8,4.704492263,-74.10340546,4.707400669,-74.10924195,#d73027,cll80,east_west
KR96;KR102,21.20181292,"(array([  4.70755037, -74.1093707 ]), array([  4.71142109, -74.11338328]))",9,4.707550366,-74.1093707,4.711421092,-74.11338328,#d73027,cll80,east_west
KR102;KR112A,32.07167273,"(array([  4.71163494, -74.1136515 ]), array([  4.7194191 , -74.11929487]))",10,4.711634944,-74.1136515,4.719419099,-74.11929487,#a6d96a,cll80,east_west
KR112A;KR119,39.83407112,"(array([  4.71956879, -74.11932706]), array([  4.72623551, -74.1246432 ]))",11,4.719568793,-74.11932706,4.726235509,-74.1246432,#1a9850,cll80,east_west
KR119;KR112A,37.69757804,"(array([  4.72597889, -74.1249436 ]), array([  4.71939237, -74.11968647]))",1,4.725978892,-74.1249436,4.719392367,-74.11968647,#1a9850,cll80,west_east
KR112A;KR102,27.48108951,"(array([  4.7192801 , -74.11955236]), array([  4.71138901, -74.11384462]))",2,4.719280097,-74.11955236,4.711389014,-74.11384462,#fdae61,cll80,west_east
KR102;KR96,30.00598223,"(array([  4.71118585, -74.11374806]), array([  4.70718682, -74.10967111]))",3,4.711185855,-74.11374806,4.707186816,-74.10967111,#a6d96a,cll80,west_east
KR96;KR89A,27.03647502,"(array([  4.70707989, -74.10947799]), array([  4.70406455, -74.10368441]))",4,4.707079889,-74.10947799,4.704064555,-74.10368441,#fdae61,cll80,west_east
KR89A;KR81,37.39035654,"(array([  4.70406455, -74.10357713]), array([  4.70000132, -74.09754752]))",5,4.704064555,-74.10357713,4.700001319,-74.09754752,#1a9850,cll80,west_east
KR81;KR76,28.83585538,"(array([  4.69991578, -74.0973544 ]), array([  4.69747782, -74.09355639]))",6,4.699915777,-74.0973544,4.697477823,-74.09355639,#fdae61,cll80,west_east
KR76;KR71,31.04311271,"(array([  4.69734951, -74.09331768]), array([  4.69429136, -74.08771723]))",7,4.69734951,-74.09331768,4.694291362,-74.08771723,#a6d96a,cll80,west_east
KR71;KR69H;,32.19351155,"(array([  4.6940775 , -74.08748119]), array([  4.6883675 , -74.08278196]))",8,4.694077505,-74.08748119,4.6883675,-74.08278196,#a6d96a,cll80,west_east
KR69H;KR58,39.7092862,"(array([  4.68813225, -74.08261298]), array([  4.67840161, -74.07448052]))",9,4.688132255,-74.08261298,4.678401611,-74.07448052,#1a9850,cll80,west_east
KR58;KR24,34.41108195,"(array([  4.67823052, -74.0742874 ]), array([  4.66894886, -74.06358003]))",10,4.678230522,-74.0742874,4.668948856,-74.06358003,#a6d96a,cll80,west_east
KR24;CARACAS,31.103877,"(array([  4.66877375, -74.06340535]), array([  4.66584915, -74.06105875]))",11,4.668773754,-74.06340535,4.665849148,-74.06105875,#a6d96a,cll80,west_east
