year,month,operation_code,departamento,count
2019,3,True,CUNDINAMARCA,38378
2019,3,True,GUAINIA,6
2019,3,True,GUAVIARE,853
2019,3,True,HUILA,5906
2019,3,True,LA GUAJIRA,535
2019,3,True,MAGDALENA,113
2019,3,True,META,9187
2019,3,True,NARINO,2803
2019,3,True,NORTE DE SANTANDER,10570
2019,3,True,PUTUMAYO,453
2019,3,True,QUINDIO,624
2019,3,True,RISARALDA,14766
2019,3,True,SANTANDER,8170
2019,3,True,SUCRE,880
2019,3,True,TOLIMA,50357
2019,3,True,VALLE DEL CAUCA,343147
2019,3,True,VAUPES,4
2019,3,True,VICHADA,35
2019,4,False,ANTIOQUIA,117343
2019,4,False,ARAUCA,222
2019,4,False,ATLANTICO,20012
2019,4,False,"BOGOTA, D.C.",3496
2019,4,False,BOLIVAR,76931
2019,4,False,BOYACA,1728
2019,4,False,CALDAS,7317
2019,4,False,CAQUETA,142
2019,4,False,CASANARE,2122
2019,4,False,CAUCA,1203
2019,4,False,CESAR,204
2019,4,False,CHOCO,1
2019,4,False,CORDOBA,178
2019,4,False,CUNDINAMARCA,69460
2019,4,False,GUAVIARE,12
2019,4,False,HUILA,887
2019,4,False,LA GUAJIRA,170
2019,4,False,MAGDALENA,39
2019,4,False,META,3858
2019,4,False,NARINO,619
2019,4,False,NORTE DE SANTANDER,2390
2019,4,False,PUTUMAYO,88
2019,4,False,QUINDIO,448
2019,4,False,RISARALDA,4687
2019,4,False,SANTANDER,3128
2019,4,False,SUCRE,60
2019,4,False,TOLIMA,12165
2019,4,False,VALLE DEL CAUCA,226088
2019,4,False,VICHADA,8
2019,4,True,ANTIOQUIA,237480
2019,4,True,ARAUCA,1541
2019,4,True,ATLANTICO,28770
2019,4,True,BOLIVAR,47949
2019,4,True,BOYACA,5383
2019,4,True,CALDAS,10190
2019,4,True,CAQUETA,1221
2019,4,True,CASANARE,4758
2019,4,True,CAUCA,1341
2019,4,True,CESAR,1074
2019,4,True,CHOCO,15
2019,4,True,CORDOBA,1319
2019,4,True,CUNDINAMARCA,35923
2019,4,True,GUAINIA,5
2019,4,True,GUAVIARE,747
2019,4,True,HUILA,5726
2019,4,True,LA GUAJIRA,498
2019,4,True,MAGDALENA,96
2019,4,True,META,9003
2019,4,True,NARINO,3243
2019,4,True,NORTE DE SANTANDER,9846
2019,4,True,PUTUMAYO,432
2019,4,True,QUINDIO,551
2019,4,True,RISARALDA,15595
2019,4,True,SANTANDER,7673
2019,4,True,SUCRE,821
2019,4,True,TOLIMA,49996
2019,4,True,VALLE DEL CAUCA,319712
2019,4,True,VAUPES,10
2019,4,True,VICHADA,32
2019,5,False,ANTIOQUIA,144885
2019,5,False,ARAUCA,296
2019,5,False,ATLANTICO,20616
2019,5,False,"BOGOTA, D.C.",3781
2019,5,False,BOLIVAR,88374
2019,5,False,BOYACA,1896
2019,5,False,CALDAS,7265
2019,5,False,CAQUETA,180
2019,5,False,CASANARE,2211
2019,5,False,CAUCA,1405
2019,5,False,CESAR,256
2019,5,False,CHOCO,2
2019,5,False,CORDOBA,211
2019,5,False,CUNDINAMARCA,75885
2019,5,False,GUAVIARE,12
2019,5,False,HUILA,976
2019,5,False,LA GUAJIRA,187
2019,5,False,MAGDALENA,39
2019,5,False,META,2289
2019,5,False,NARINO,740
2019,5,False,NORTE DE SANTANDER,2848
2019,5,False,PUTUMAYO,98
2019,5,False,QUINDIO,510
2019,5,False,RISARALDA,5132
2019,5,False,SANTANDER,3624
2019,5,False,SUCRE,87
2019,5,False,TOLIMA,14853
2019,5,False,VALLE DEL CAUCA,259488
2019,5,False,VICHADA,5
2019,5,True,ANTIOQUIA,266001
2019,5,True,ARAUCA,1726
2019,5,True,ATLANTICO,31195
2019,5,True,"BOGOTA, D.C.",19
2019,5,True,BOLIVAR,52141
2019,5,True,BOYACA,6188
2019,5,True,CALDAS,12073
2019,5,True,CAQUETA,1455
2019,5,True,CASANARE,5126
2019,5,True,CAUCA,1586
2019,5,True,CESAR,1216
2019,5,True,CHOCO,14
2019,5,True,CORDOBA,1453
2019,5,True,CUNDINAMARCA,41312
2019,5,True,GUAINIA,5
2019,5,True,GUAVIARE,905
2019,5,True,HUILA,6297
2019,5,True,LA GUAJIRA,617
2019,5,True,MAGDALENA,104
2019,5,True,META,9129
2019,5,True,NARINO,3997
2019,5,True,NORTE DE SANTANDER,11029
2019,5,True,PUTUMAYO,424
2019,5,True,QUINDIO,614
2019,5,True,RISARALDA,16302
2019,5,True,SANTANDER,8638
2019,5,True,SUCRE,946
2019,5,True,TOLIMA,54615
2019,5,True,VALLE DEL CAUCA,358033
2019,5,True,VAUPES,12
2019,5,True,VICHADA,22
2019,6,False,ANTIOQUIA,117524
2019,6,False,ARAUCA,237
2019,6,False,ATLANTICO,18844
2019,6,False,"BOGOTA, D.C.",2546
2019,6,False,BOLIVAR,80414
2019,6,False,BOYACA,1803
2019,6,False,CALDAS,6289
2019,6,False,CAQUETA,131
2019,6,False,CASANARE,2066
2019,6,False,CAUCA,1318
2019,6,False,CESAR,241
2019,6,False,CHOCO,3
2019,6,False,CORDOBA,212
2019,6,False,CUNDINAMARCA,69296
2019,6,False,GUAVIARE,8
2019,6,False,HUILA,829
2019,6,False,LA GUAJIRA,165
2019,6,False,MAGDALENA,49
2019,6,False,META,1550
2019,6,False,NARINO,644
2019,6,False,NORTE DE SANTANDER,2694
2019,6,False,PUTUMAYO,81
2019,6,False,QUINDIO,437
2019,6,False,RISARALDA,5245
2019,6,False,SANTANDER,3162
2019,6,False,SUCRE,87
2019,6,False,TOLIMA,12611
2019,6,False,VALLE DEL CAUCA,228383
2019,6,False,VAUPES,1
2019,6,False,VICHADA,4
2019,6,True,AMAZONAS,1
2019,6,True,ANTIOQUIA,229903
2019,6,True,ARAUCA,1453
2019,6,True,ATLANTICO,28162
2019,6,True,BOLIVAR,45133
2019,6,True,BOYACA,5353
2019,6,True,CALDAS,10754
2019,6,True,CAQUETA,1130
2019,6,True,CASANARE,4243
2019,6,True,CAUCA,1304
2019,6,True,CESAR,1047
2019,6,True,CHOCO,14
2019,6,True,CORDOBA,1404
2019,6,True,CUNDINAMARCA,39547
2019,6,True,GUAINIA,7
2019,6,True,GUAVIARE,617
2019,6,True,HUILA,5570
2019,6,True,LA GUAJIRA,460
2019,6,True,MAGDALENA,96
2019,6,True,META,7602
2019,6,True,NARINO,3324
2019,6,True,NORTE DE SANTANDER,10313
2019,6,True,PUTUMAYO,450
2019,6,True,QUINDIO,517
2019,6,True,RISARALDA,13520
2019,6,True,SANTANDER,7345
2019,6,True,SUCRE,793
2019,6,True,TOLIMA,46379
2019,6,True,VALLE DEL CAUCA,309835
2019,6,True,VAUPES,12
2019,6,True,VICHADA,19
2019,7,False,ANTIOQUIA,130635
2019,7,False,ARAUCA,272
2019,7,False,ATLANTICO,19671
2019,7,False,"BOGOTA, D.C.",3325
2019,7,False,BOLIVAR,84892
2019,7,False,BOYACA,2030
2019,7,False,CALDAS,7363
2019,7,False,CAQUETA,157
2019,7,False,CASANARE,2089
2019,7,False,CAUCA,1495
2019,7,False,CESAR,260
2019,7,False,CORDOBA,228
2019,7,False,CUNDINAMARCA,74827
2019,7,False,GUAVIARE,24
2019,7,False,HUILA,1002
2019,7,False,LA GUAJIRA,319
2019,7,False,MAGDALENA,45
2019,7,False,META,2731
2019,7,False,NARINO,694
2019,7,False,NORTE DE SANTANDER,2814
2019,7,False,PUTUMAYO,98
2019,7,False,QUINDIO,484
2019,7,False,RISARALDA,5416
2019,7,False,SANTANDER,3719
2019,7,False,SUCRE,100
2019,7,False,TOLIMA,13172
2019,7,False,VALLE DEL CAUCA,240668
2019,7,False,VICHADA,4
2019,7,True,AMAZONAS,1
2019,7,True,ANTIOQUIA,250118
2019,7,True,ARAUCA,1611
2019,7,True,ATLANTICO,32205
2019,7,True,BOLIVAR,50356
2019,7,True,BOYACA,5758
2019,7,True,CALDAS,12137
2019,7,True,CAQUETA,1270
2019,7,True,CASANARE,4950
2019,7,True,CAUCA,1499
2019,7,True,CESAR,1275
2019,7,True,CHOCO,22
2019,7,True,CORDOBA,1369
2019,7,True,CUNDINAMARCA,42888
2019,7,True,GUAINIA,11
2019,7,True,GUAVIARE,790
2019,7,True,HUILA,5709
2019,7,True,LA GUAJIRA,558
2019,7,True,MAGDALENA,108
2019,7,True,META,9438
2019,7,True,NARINO,3686
2019,7,True,NORTE DE SANTANDER,12224
2019,7,True,PUTUMAYO,447
2019,7,True,QUINDIO,588
2019,7,True,RISARALDA,15266
2019,7,True,SANTANDER,8076
2019,7,True,SUCRE,785
2019,7,True,TOLIMA,48930
2019,7,True,VALLE DEL CAUCA,354921
2019,7,True,VAUPES,14
2019,7,True,VICHADA,28
2019,8,False,ANTIOQUIA,126893
2019,8,False,ARAUCA,273
2019,8,False,ATLANTICO,21725
2019,8,False,"BOGOTA, D.C.",2413
2019,8,False,BOLIVAR,86790
2019,8,False,BOYACA,1963
2019,8,False,CALDAS,8002
2019,8,False,CAQUETA,179
2019,8,False,CASANARE,1980
2019,8,False,CAUCA,1327
2019,8,False,CESAR,251
2019,8,False,CHOCO,1
2019,8,False,CORDOBA,253
2019,8,False,CUNDINAMARCA,76141
