codigo_siniestro,fecha,hora,gravedad,clase,choque_con,objeto_fijo,direccion,total_muertos,total_heridos,localidad,diseno_lugar,corredor,direcc_1,ciudad,pais,ciclista,conductor,motociclista,pasajero,peaton,total_condicion,herido,ileso,muerto,sin_informacion_x,total_estado,femenino,masculino,total_sexo,automovil,bicicleta,bus,buseta,camion_furgon,camioneta,campero,cuatrimoto,microbus,motocarro,motocicleta,motociclo,tractocamion,volqueta,total_clase,diplomatico,oficial,particular,publico,total_servicio,first_codc,codigo_causa,descripcion,direcc_2,direcc_3,direcc_copl,hora_1,lat,lon,year_month,year,month,day,hour,sentido,dia,carga_S/N,accidents_road_1_cl13,accidents_road_1_cl80
4446611,27/05/2016,13:40:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 90 12,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,90,12,Avenida Calle 80 # 90 12 Bogotá Colombia,6/11/2020 13:40,4.6678491,-74.0622513,2016-05,2016,5,Friday,13,east_west,Viernes,0,FALSE,FALSE
4447082,31/05/2016,15:00:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 82 37,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,103,103,ADELANTAR CERRANDO,82,37,Avenida Calle 80 # 82 37 Bogotá Colombia,6/11/2020 15:00,4.6678491,-74.0622513,2016-05,2016,5,Tuesday,15,west_east,Martes,1,FALSE,FALSE
4447149,6/01/2016,8:20:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 70A 45,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,103,103,ADELANTAR CERRANDO,70A,45,Avenida Calle 80 # 70A 45 Bogotá Colombia,6/11/2020 8:20,4.6661161,-74.0605403,2016-01,2016,1,Wednesday,8,west_east,Miercoles,0,FALSE,FALSE
4447261,6/02/2016,11:40:00,Con Heridos,Choque,Vehiculo,,AC 80-KR 86 02,0,2,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,1,0,1,0,0,2,2,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,112,112,DESOBEDECER SEÑALES,86,2,Avenida Calle 80 # 86 02 Bogotá Colombia,6/11/2020 11:40,4.6940409,-74.0869892,2016-02,2016,2,Saturday,11,east_west,Sabado,0,FALSE,FALSE
4447320,6/03/2016,17:00:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 104 02,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,123,123,NO RESPETAR PRELACION DE INTERSECCIONES O GIROS,104,2,Avenida Calle 80 # 104 02 Bogotá Colombia,6/11/2020 17:00,4.6940409,-74.0869892,2016-03,2016,3,Sunday,17,east_west,Domingo,0,FALSE,FALSE
4447350,6/03/2016,8:15:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 20 02,0,0,Barrios Unidos,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,143,143,PONER EN MARCHA UN VEHICULO SIN PRECAUCIONES,20,2,Avenida Calle 80 # 20 02 Bogotá Colombia,6/11/2020 8:15,4.6940409,-74.0869892,2016-03,2016,3,Sunday,8,east_west,Domingo,0,FALSE,FALSE
4447567,6/05/2016,14:30:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 82 95,0,0,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,82,95,Avenida Calle 80 # 82 95 Bogotá Colombia,6/11/2020 14:30,4.6678491,-74.0622513,2016-05,2016,5,Friday,14,west_east,Viernes,0,FALSE,FALSE
4447496,6/07/2016,19:10:00,Con Heridos,Choque,Vehiculo,,AC 80-KR 94 45,0,1,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,1,1,0,0,0,2,1,1,0,0,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,115,115,EMBRIAGUEZ O DROGA,94,45,Avenida Calle 80 # 94 45 Bogotá Colombia,6/11/2020 19:10,4.6678491,-74.0622513,2016-07,2016,7,Wednesday,19,west_east,Miercoles,0,FALSE,FALSE
4447912,6/07/2016,5:55:00,Con Heridos,Choque,Vehiculo,,AC 80-KR 107 02,0,1,Engativá,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,1,1,0,0,0,2,1,1,0,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,157,157,OTRA,107,2,Avenida Calle 80 # 107 02 Bogotá Colombia,6/11/2020 5:55,4.6940409,-74.0869892,2016-07,2016,7,Wednesday,5,east_west,Miercoles,0,FALSE,FALSE
10499056,10/06/2019,12:10:00,Solo Daños,Choque,Vehiculo,,AC 80-KR 23 2,0,0,Barrios Unidos,Tramo de Via,Calle 80,Calle 80,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,157,157,OTRA,23,2,Avenida Calle 80 # 23 2 Bogotá Colombia,6/11/2020 12:10,4.6678491,-74.0622513,2019-06,2019,6,Monday,12,east_west,Lunes,0,FALSE,FALSE
